Author, Gender, Age, Docs, Words
10016a25a9298bf98a494ed4de182e1b,female,30s,1.0,68.0
100292529d6e87580b960665dcdb0f79,female,30s,1.0,8.0
100327a8dcac377eb0a4878b08921d3c,female,20s,1.0,26.0
1004fea5f8f151fcc5659de0c2ce20fc,female,20s,1.0,27.0
1008468d8d27dc7fe711b7f41fc292e0,female,30s,1.0,89.0
100926918514c06f23b678a7d4311481,male,30s,1.0,27.0
1009e36cfd47bd72958f330508b6f213,male,20s,7.0,825.0
100ba2df484fa8455917398771b61702,male,20s,3.0,1013.0
100bb2d136d25e83989ddbd802250cb5,male,30s,1.0,27.0
100d6b3d94e7bb019651ca34ee371dc1,female,20s,5.0,1369.0
100ddcca7bab469be3fe13efbe3d9fd,male,30s,1.0,19.0
100ee95231196dcf803d34b02ca5576b,female,20s,1.0,15.0
100f545f9da43d85b73eeed017dcd9c3,female,10s,2.0,52.0
100f7de3831411b299fd86354c7ce57f,female,20s,4.0,1495.0
100fa3066c8becbd699c7b1933994cdf,male,20s,1.0,34.0
1011acd4a152d94c6ef9c907763e4044,male,20s,1.0,55.0
101289d2e121d8f7552f804348e6dbfa,male,20s,1.0,173.0
10137ed719353c2b4f8b6f3262405265,male,30s,1.0,60.0
1013b1a2e8e2a2cf47c6a73daf45629e,male,20s,1.0,39.0
1014c38ba71d85521d49fa50d61e327f,male,20s,4.0,749.0
1015bd1a961cae1c47a0f270dd63fdd0,female,10s,1.0,1310.0
10168d4e671e61958d06db379c479798,female,20s,1.0,12.0
1017b47ea5a2a83397ef0c120b1c19a4,male,30s,1.0,29.0
1018177b2518ed3165a8d756d84f7a74,male,20s,2.0,1308.0
10185861a216c89ff977c23404dd095d,female,20s,2.0,161.0
1018d59879fd5108b21a1ea8d2796128,female,30s,4.0,1208.0
1018f255f7dc1722bc21125fe341c216,female,30s,1.0,28.0
1019dcb1fe4549de72b3c7c4468d265a,male,30s,1.0,219.0
101b32d4790ebcb1cc26c9464fec4099,male,20s,1.0,61.0
101bf7d28831dddce31516252e97605f,male,10s,1.0,189.0
101dabc9bd84d32ae7e0267316b5d944,male,30s,1.0,42.0
1020d1ceedfd529f219de9546f4dceb,male,20s,1.0,39.0
102114c8a68123ea09943ded6d20ed5a,male,20s,2.0,1553.0
102164f633856163604137e7326d8d9c,female,20s,1.0,330.0
102399abedd4d0edf4605961e972b74b,female,30s,3.0,384.0
1024905f46583bd1646ed40afff74401,male,20s,1.0,80.0
1024a1e3769a20f9fbcbb00c1f3f6c03,female,20s,1.0,8.0
1024bdac2adb01094470dccc92cc30ca,male,30s,1.0,46.0
10261aede7a638e330200afc1728648e,male,20s,1.0,297.0
1026d8dacdb836dfeb297783377821f6,male,30s,1.0,12.0
10272639a6c94742ec7fc46e96794a79,female,20s,1.0,125.0
1027c326b020d48e6d9d299798618065,male,30s,1.0,238.0
102939767c3d65078481a5701b2d6527,male,20s,1.0,45.0
102b488000726928b24a86fec625e8d4,female,30s,1.0,19.0
102b597059f5e88984118579531dfde0,male,30s,2.0,68.0
102d557077fda264dda93d546d7a92e3,male,20s,2.0,413.0
102e0c3f607430d73b24c25dc7145f8b,female,30s,1.0,1518.0
103042e093c12b8a8158911b52c8b4d9,female,20s,3.0,1716.0
1030cfbbf1b90edf74a58cb355a36000,male,20s,2.0,10.0
10313eddb4302f6c13603d6bd148ca07,male,20s,1.0,13.0
1031c31ee08e00045f40337f7e58c573,male,20s,2.0,69.0
